comments,is_swear_word
чудовий курс,False
хуйня,True
викладач блядь,True
обожнюю цей курс,False,
не рекомендую йти на цю хуйню,True
ахуєнний курс!!!,True
хороший викладач і лекції цікаві,False
єбав в рот,True
піська,True
та я хз тіпа норм,False
а там є крівєткі?,False
піздазалупна хуємразь,True
андрій мовчун,False
бялть,True
викладачка шмара,True
заєбісь курс,True,
ровний курс,False,
как же ахуенно постоянно кидать тот же мем в паблик для людей с альцгеймером ,True
б л я т ь,True
с у ка,True
Нормально,False
Імба,False
Супер,False
Круто,False
Люблю цей курс,False
Чудовий,True
Хуйня повна,True
дура,True
пізда,True
блять,True
коментар,False
Це нормальний коментар,False
Це хуйовий,True
Це піздєц,True
Це хуй,True
Я тут,False
Не баньте,False
Хороший курс,False
Імба,False
Рекомендую,False
Почав,False
Залупний курс,True
Їбаний,True
Нормальний курс,False
Крутий курс,False
Хуйовий курс,True
Викладач бусінка,False
нахуй,True
Привіт,False
Нахуй,True
Хуй,True
Їбав,True
Їбаний,True
Сука,True
с у к а,True
с У к А,True
п р и в і т,False
п а п а,False
су ка,True
норм,False
люблю,False
говорити,False
їбанутий коментар,True
я йобнутий,True
я крутий,False
Це ахуєнно,True
Це круто,False
Ти циган,True
Ти негр,True
ти молодець,False
ТИ МОЛОДЕЦЬ,False
СУКА,True
БЛЯТЬ,True
НАХУЙ,True
НОРМАЛЬНО,False
ХОРОШИЙ КУРС,False
ХО ХО ХО,False
с у к а,True
б л я т ь,True
н а х у й,True
негр,True
н е г р,True
пізда,True
п і з д а,True
ПІЗДА,True
С У К А,True
Все добре,False
В С Е Д О Б Р Е,False
добре,False
супер,False
ахуй,True
ахуєть,True
ахуїть,True
бля,True
блять,True
блядь,True
блядина,True
блядіна,True
блядки,True
блядовать,True
блядувати,True
блядувать,True
блядовозка,True
блядський,True
блядскій,True
блядун,True
бляха,True
вз'єбать,True
в'єбать,True
в'єбати,True
вйобаний,True
виблядок,True
виєбони,True
виїбони,True
вийобисто,True
вийобуватись,True
гавно,True
гівно,True
гімно,True
гамно,True
гандон,True
гондон,True
гавнюк,True
гімнюк,True
далбайоб,True
довбойоб,True
допиздітись,True
дохуя,True
дахуя,True
дрочилка,True
давалка,True
дрочить,True
дрочити,True
дрочун,True
еблан,True
ебанат,True
єблан,True
єбанат,True
єбло,True
ебло,True
ебать,True
єбать,True
єбальник,True
єбанутий,True
єбучий,True
їбать,True
їбанутий,True
їбальник,True
їбучий,True
їбло,True
